GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.OutEdges.new JGraphTWrapper.IndexGraphImpl.EdgeSetBase.IterBase() {...},0,63,0,8,0,9,0,7,0,3
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.InEdges,0,13,0,0,0,4,0,2,0,2
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.InEdges.new JGraphTWrapper.IndexGraphImpl.EdgeSetBase.IterBase() {...},0,63,0,8,0,9,0,7,0,3
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.OutEdges.new JGraphTWrapper.BaseEdgeSet.BaseIter() {...},0,51,0,8,0,8,0,7,0,3
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.BaseEdgeSet,0,39,0,0,0,10,0,6,0,6
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl,0,399,1,17,0,82,1,52,0,44
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.InEdges,0,25,0,0,0,7,0,2,0,2
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.BaseEdgeSet.BaseIter,0,68,0,10,0,13,0,9,0,4
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.InEdges.new JGraphTWrapper.BaseEdgeSet.BaseIter() {...},0,51,0,8,0,8,0,7,0,3
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.EdgeSetBase.IterBase,0,71,0,8,0,17,0,9,0,5
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexIdMapImpl,8,149,2,18,0,39,2,17,0,9
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.SourceTargetEdgeSet,0,16,0,0,0,5,0,2,0,2
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.new WeightsDouble() {...},0,22,0,0,0,5,0,4,0,4
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.SourceTargetEdgeSet,0,19,0,0,0,6,0,2,0,2
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.OutEdges,0,25,0,0,0,7,0,2,0,2
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTAdapter,0,563,0,68,0,140,0,67,0,33
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper,0,593,0,44,0,132,0,69,0,47
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.OutEdges,0,13,0,0,0,4,0,2,0,2
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.new IWeightsDouble() {...},0,33,0,0,0,5,0,4,0,4
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.EdgeSetBase,0,24,0,0,0,5,0,3,0,3
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.IndicesSet,0,68,0,4,0,12,0,12,0,10
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.SourceTargetEdgeSet.new JGraphTWrapper.BaseEdgeSet.BaseIter() {...},0,29,0,4,0,7,0,5,0,3
JGAlgo - JGraphT Adapters,com.jgalgo.adapt.jgrapht,JGraphTWrapper.IndexGraphImpl.SourceTargetEdgeSet.new JGraphTWrapper.IndexGraphImpl.EdgeSetBase.IterBase() {...},0,29,0,4,0,7,0,5,0,3
